,tconst,ordering,nconst,category
47448, tt0016884,11,nm0318105,actor
45490, tt0020332,11,nm0199841,actress
42430, tt0020629,11,nm0027173,writer
46214, tt0020629,11,nm0249186,cinematographer
40638, tt0021749,11,nm0003424,actor
41714, tt0021749,11,nm0005906,cinematographer
43253, tt0021749,11,nm0074788,actor
47216, tt0021749,11,nm0305087,actor
42793, tt0021884,11,nm0049721,writer
55510, tt0021884,11,nm0791217,writer
56394, tt0022835,11,nm0835365,cinematographer
51068, tt0023876,11,nm0515979,director
56908, tt0023876,11,nm0869428,actress
38733, tt0023948,11,nm0000858,actor
41959, tt0024216,11,nm0006388,producer
54835, tt0024894,11,nm0750538,writer
37286, tt0025316,11,nm0000022,actor
38924, tt0025316,11,nm0001008,director
39277, tt0026071,11,nm0001256,actress
37447, tt0027977,11,nm0000122,writer
38585, tt0027977,11,nm0000710,music_department
40364, tt0027977,11,nm0002104,actress
40637, tt0027977,11,nm0003424,actor
41713, tt0027977,11,nm0005906,cinematographer
43252, tt0027977,11,nm0074788,actor
44992, tt0027977,11,nm0174682,actor
43961, tt0028333,11,nm0110813,actress
46700, tt0028333,11,nm0276227,soundtrack
55286, tt0028333,11,nm0778818,writer
37955, tt0029583,11,nm0000370,producer
42555, tt0029583,11,nm0035899,director
45194, tt0029583,11,nm0183183,writer
46651, tt0029583,11,nm0272568,animation_department
47998, tt0029583,11,nm0342278,writer
48000, tt0029583,11,nm0342303,writer
48283, tt0029583,11,nm0359457,animation_department
49242, tt0029583,11,nm0414144,director
52551, tt0029583,11,nm0604392,soundtrack
53488, tt0029583,11,nm0668998,producer
54467, tt0029583,11,nm0730860,animation_department
55488, tt0029583,11,nm0789313,animation_department
59767, tt0029583,11,nm1345229,composer
61411, tt0029583,11,nm1968474,assistant_director
40301, tt0029843,11,nm0002031,director
41644, tt0029843,11,nm0005835,cinematographer
41813, tt0029843,11,nm0006087,music_department
41848, tt0029843,11,nm0006157,music_department
52692, tt0029843,11,nm0612743,actor
53078, tt0029843,11,nm0640547,actress
37272, tt0031381,11,nm0000014,actress
37287, tt0031381,11,nm0000022,actor
37330, tt0031381,11,nm0000046,actress
37363, tt0031381,11,nm0000070,music_department
40307, tt0031381,11,nm0002034,actress
41585, tt0031381,11,nm0005735,cinematographer
41961, tt0031381,11,nm0006388,producer
42410, tt0031381,11,nm0026655,actor
46835, tt0031381,11,nm0281808,director
49559, tt0031381,11,nm0430460,actor
52442, tt0031381,11,nm0593775,actor
51997, tt0031398,11,nm0572142,actor
48263, tt0031455,11,nm0358899,actor
41947, tt0031679,11,nm0006323,music_department
39276, tt0031725,11,nm0001256,actress
40325, tt0031725,11,nm0002048,actor
38022, tt0031971,11,nm0000406,director
38937, tt0031971,11,nm0001017,actor
45833, tt0031971,11,nm0222596,actor
51212, tt0031971,11,nm0522635,editor
52441, tt0031971,11,nm0593775,actor
52947, tt0031971,11,nm0629580,writer
55948, tt0031971,11,nm0817929,editor
37290, tt0032138,11,nm0000023,soundtrack
41736, tt0032138,11,nm0005956,music_department
46834, tt0032138,11,nm0281808,director
50795, tt0032138,11,nm0503777,director
48289, tt0032455,11,nm0359610,assistant_director
48558, tt0032455,11,nm0373871,assistant_director
53490, tt0032455,11,nm0668998,producer
55088, tt0032455,11,nm0766402,animation_department
56289, tt0032455,11,nm0831439,soundtrack
40363, tt0032553,11,nm0002104,actress
41712, tt0032553,11,nm0005906,cinematographer
45193, tt0032910,11,nm0183183,writer
46650, tt0032910,11,nm0272568,animation_department
48557, tt0032910,11,nm0373871,assistant_director
50049, tt0032910,11,nm0455741,director
51304, tt0032910,11,nm0527217,director
54466, tt0032910,11,nm0730860,animation_department
55341, tt0032910,11,nm0780799,writer
55487, tt0032910,11,nm0789313,animation_department
59766, tt0032910,11,nm1345229,composer
37284, tt0032976,11,nm0000021,actress
37348, tt0032976,11,nm0000059,actor
37372, tt0032976,11,nm0000077,music_department
38636, tt0032976,11,nm0000752,actress
39944, tt0032976,11,nm0001695,actor
41960, tt0032976,11,nm0006388,producer
44050, tt0032976,11,nm0115558,actor
45080, tt0032976,11,nm0178066,actress
46088, tt0032976,11,nm0238898,writer
48392, tt0032976,11,nm0365661,producer
55541, tt0032976,11,nm0792845,writer
55764, tt0033467,11,nm0806041,actor
42554, tt0033563,11,nm0035899,director
45420, tt0033563,11,nm0196119,animation_department
46649, tt0033563,11,nm0272568,animation_department
53509, tt0033563,11,nm0670328,writer
54424, tt0033563,11,nm0727370,writer
54465, tt0033563,11,nm0730860,animation_department
38673, tt0033870,11,nm0000802,actress
48259, tt0033870,11,nm0358591,writer
37269, tt0034167,11,nm0000011,actor
42471, tt0034248,11,nm0029456,actress
48313, tt0034248,11,nm0362567,actor
