,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10
0,13000000.0,45300000.0,EARTH TO ECHO,5.8,394.0,tt2183034,2014,91,Family,Adventure,Science Fiction,,Panay Films,Walt Disney Pictures,,,,nm0659123,nm2849655,nm1757777,,,nm1757777,,,nm5128387,nm4702342,nm3419119,nm4125403,nm4861346,,,,,,nm1448916,nm2468967,nm1131817,,,,,,,
1,26000000.0,30523226.0,SELF/LESS,6.3,1929.0,tt2140379,2015,117,Science Fiction,Mystery,Thriller,,Ram Bergman Productions,Endgame Entertainment,,,,nm1883612,nm0802248,nm0665041,,,nm0802248,,,nm0005351,nm2358540,nm0328828,nm0001426,,,,,,,nm0074851,nm0772283,nm0827726,,,,,,,
2,65000000.0,235666219.0,SPY,6.8,4111.0,tt3079380,2015,119,Action,Comedy,Crime,,Chernin Entertainment,Feigco Entertainment,20th Century Fox,,,nm0082450,,,,,nm0082450,,,nm0565250,nm0126284,nm0000179,nm0005458,,,,,,,nm1858656,nm2295810,nm0867768,nm0788640,nm0005934,nm1265067,,,,
3,5000000.0,1700000.0,BEST OF THE BEST,6.4,93.0,tt0096913,1989,97,Action,Drama,,,The Movie Network,,,,,nm0705675,nm0834883,nm0505924,,,nm0705675,,,nm0000616,nm0000469,nm0000476,nm0722221,nm0004891,,,,,,nm0833857,nm0319457,nm0752519,,,,,,,
4,150000.0,560000.0,HOUSE OF GOOD AND EVIL,4.5,23.0,tt1068953,2013,108,Horror,Thriller,,,Suited Four Productions,Shooting Creek Films,Horrorshow,Chabo Films,PIK2 Entertainment,nm1846376,nm0612625,,,,nm0612625,,,nm4112571,nm0646792,nm0547174,nm0722468,,,,,,,nm1252996,nm3337885,nm2044090,nm3752407,,,,,,
5,13000000.0,54837234.0,ST. VINCENT,7.1,1136.0,tt2170593,2014,102,Comedy,,,,Chernin Entertainment,The Weinstein Company,Crescendo Productions,Goldenlight Films,,nm0577647,,,,,nm0577647,,,nm0000195,nm0565250,nm0915208,nm5897057,,,,,,,nm1858656,nm0740407,nm0867768,nm0788640,nm0511979,,,,,
6,26000000.0,35926213.0,THE BEST OF ME,7.3,1629.0,tt1972779,2014,118,Drama,Romance,,,Relativity Media,,,,,nm0817023,nm0328987,nm0001355,nm3391497,,nm0001355,,,nm0005188,nm1157358,nm3478396,nm1882929,,,,,,,nm6390290,nm0224145,nm0004922,,,,,,,
7,35000000.0,14431253.0,UNFINISHED BUSINESS,5.2,505.0,tt2358925,2015,91,Comedy,,,,Studio Babelsberg,Regency Enterprises,New Regency Pictures,Escape Artists,,nm0175726,nm0779433,,,,nm0779433,,,nm0000681,nm2002649,nm0929489,nm0005188,nm2053085,,,,,,nm0085542,nm0089820,nm0441097,nm0586969,nm0453918,,,,,
8,19800000.0,41296320.0,THIS IS WHERE I LEAVE YOU,6.6,734.0,tt1371150,2014,103,Drama,Comedy,,,Spring Creek Productions,21 Laps Entertainment,Warner Bros. Pictures,,,nm2267086,nm0506613,,,,nm0506613,,,nm0000867,nm0275486,nm0000404,nm3485845,,,,,,,nm5170107,nm0918463,nm0315974,nm0820987,,,,,,
9,4000000.0,52425855.0,THE BOY NEXT DOOR,4.5,1433.0,tt3181822,2015,91,Thriller,,,,Smart Entertainment,Blumhouse Productions,Nuyorican Productions,Universal Pictures,,nm3204152,nm0003418,,,,nm0003418,,,nm0000182,nm4554428,nm0155693,nm0179173,nm0307074,,,,,,nm0089658,nm0326063,nm1124997,nm0575656,,,,,,
10,5000000.0,6341855.0,INCARNATE,5.3,339.0,tt3216348,2016,91,Horror,Thriller,,,WWE Studios,Blumhouse Productions,IM Global,,,nm0679031,nm0159892,,,,nm0679031,,,nm0001173,nm0396924,nm1503432,nm3458761,,,,,,,nm0089658,nm0257333,nm0782739,nm0516908,,,,,,
11,50000000.0,71561644.0,RUN ALL NIGHT,6.4,1776.0,tt2199571,2015,114,Action,Drama,Thriller,,RatPac-Dune Entertainment,Vertigo Entertainment,Energy Entertainment,,,nm1429471,nm2145487,,,,nm1429471,,,nm0000553,nm0000438,nm1172478,nm0000352,,,,,,,nm0498175,nm0846333,nm0915819,nm0432725,,,,,,
12,7000000.0,14618727.0,BEYOND THE LIGHTS,7.0,256.0,tt3125324,2014,116,Romance,Drama,,,Black Entertainment Television (BET),Relativity Media,Relativity Sports,Undisputed Cinema,Homegrown Pictures,nm0697656,,,,,nm0697656,,,nm1813221,nm1676649,nm0000378,nm0000418,,,,,,,nm0019858,nm0090066,nm1448916,nm2535778,nm4584738,,,,,
13,5000000.0,2367161.0,THE GUEST,6.5,1022.0,tt2980592,2014,100,Mystery,Thriller,Action,,HanWay Films,Snoot Entertainment,,,,nm1440023,nm1417392,,,,nm1417392,,,nm1405398,nm0445992,nm2140860,nm0601376,,,,,,,nm2384784,nm2096462,nm1922014,nm0062373,,,,,,
