,tconst,averageRating,numVotes
0,tt2183034,5.8,17793
1,tt2140379,6.5,83057
2,tt3079380,7.0,217431
3,tt0096913,6.4,11262
4,tt1068953,6.6,7966
5,tt2170593,7.2,90587
6,tt1972779,6.7,61241
7,tt2358925,5.4,29705
8,tt1371150,6.6,66384
9,tt3181822,4.7,35526
10,tt3216348,5.2,10531
11,tt2199571,6.6,95610
12,tt3125324,6.9,14330
13,tt2980592,6.7,83665
14,tt2355495,6.6,21866
15,tt2910814,6.1,59167
16,tt2872718,7.9,417485
17,tt2626350,6.0,30867
18,tt1029360,4.9,52444
19,tt2637294,5.1,35013
20,tt2918436,5.2,38635
21,tt1798243,7.5,16595
22,tt2994190,6.9,37262
23,tt1969062,7.0,14171
24,tt2581244,5.6,18514
25,tt2182972,5.8,8658
26,tt2582802,8.5,639149
27,tt1596345,7.0,36076
28,tt2649554,6.6,69321
29,tt1216491,6.9,42064
30,tt3099498,5.3,42190
31,tt3385516,6.9,368217
32,tt1355630,6.7,109743
33,tt0029377,5.4,438
34,tt3172532,6.9,27577
35,tt3322940,5.4,129588
36,tt2326554,7.0,27509
37,tt0884732,6.6,67718
38,tt2673854,5.0,77
39,tt2465146,5.8,11824
40,tt2883434,6.6,10851
41,tt3164256,5.5,9788
42,tt3177316,5.7,23277
43,tt2848292,6.4,133466
44,tt2893490,5.6,6715
45,tt2381941,6.6,196908
46,tt0046982,6.5,74
47,tt1772288,7.0,28092
48,tt3450650,4.4,31680
49,tt2561572,6.0,113383
50,tt2361509,7.1,196465
51,tt1878841,4.4,12710
52,tt2978102,5.5,6112
53,tt1051904,6.3,74837
54,tt2387408,5.2,5695
55,tt0052336,5.0,32
56,tt0023906,7.3,43
57,tt0029790,7.4,98
58,tt3065204,7.3,203906
59,tt1292566,6.1,75928
60,tt2361317,6.4,48384
61,tt3606756,7.7,217936
62,tt3606752,6.7,63399
63,tt2908446,6.2,203643
64,tt3410834,5.7,98539
65,tt3095734,5.6,14012
66,tt3315342,8.1,583692
67,tt2268016,5.6,49278
68,tt1850457,6.0,59980
69,tt0086405,6.1,626
70,tt3614530,4.1,6871
71,tt3332064,5.7,56769
72,tt2091256,6.2,22810
73,tt2967224,5.1,45522
74,tt2948356,8.0,394890
75,tt1562904,7.1,51
76,tt3235888,6.8,189602
77,tt0475290,6.3,113984
78,tt2495104,4.3,1827
79,tt2295722,5.8,7134
80,tt1911658,6.7,73903
81,tt3498820,7.8,606788
82,tt1724970,5.3,15956
83,tt3152624,6.2,123683
84,tt0021324,5.2,200
85,tt2638144,5.7,38784
86,tt1666801,6.5,76951
87,tt3369806,6.7,24367
88,tt3460252,7.8,461677
89,tt1727776,6.3,41486
90,tt3397884,7.6,337881
