,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
445,426580.5716,2185333.9995999997,THE ROSE OF THE RANCHO,0.0,0.0,tt0004545,1914,\N,Romance,Western,Adventure,,Jesse L. Lasky Feature Play Company,,,,,nm0001124,nm0876445,nm0067584,,,nm0001124,,,nm0057585,nm0002034,nm0478890,nm0426668,,,,,,,nm0005931,,,,,,,,,,1758753.4279999998,5.122910289616199
3072,2486207.920792079,273482871.28712875,THE BIRTH OF A NATION,6.5,234.0,tt0004972,1915,195,Drama,History,War,,Epoch Film Co.,,,,,nm0228746,nm0000428,nm0940488,,,nm0000428,,,nm0001273,nm0550615,nm0910400,nm0178270,,,,,,,nm0106922,nm0005658,nm0376221,,,,,,,,270996663.36633664,110.00000000000001
353,375666.01683168317,2541501.184950495,THE GIRL OF THE GOLDEN WEST,5.5,2.0,tt0005393,1915,50,Western,Romance,,,Jesse L. Lasky Feature Play Company,,,,,nm0001124,nm0067584,,,,nm0001124,,,nm0885818,nm0731623,nm0676473,nm0454458,,,,,,,nm0005931,nm0371277,,,,,,,,,2165835.168118812,6.765320979483786
103,23037339.449541282,32021901.834862385,A DAUGHTER OF THE GODS,5.0,1.0,tt0006568,1916,180,Fantasy,Drama,,,Fox Film Corporation,,,,,nm0107543,nm5921220,,,,nm0107543,,,nm0445807,nm0790137,nm0208415,nm0393411,,,,,,,nm1135428,nm0005646,nm0191667,nm0402478,,,,,,,8984562.385321103,1.3900000000000001
1668,4157400.662251656,133036821.19205299,MICKEY,7.0,8.0,tt0009369,1918,93,Comedy,Drama,,,Mabel Normand Feature Film Company,,,,,nm0949648,nm0428059,nm0215874,nm0370271,,nm0949648,nm0428059,,nm0635667,nm0629589,nm0479126,nm0168595,,,,,,,nm0784407,nm0413164,,,,,,,,,128879420.52980134,32.0
628,3507081.0055865925,35070810.05586592,THE KID,8.3,917.0,tt0012349,1921,68,Comedy,Drama,,,First National Pictures,Charles Chaplin Productions,,,,nm0000122,,,,,nm0000122,,,nm0000122,nm0701012,nm0001067,nm0588033,nm0042317,nm0047800,nm0048798,nm0074788,nm0080930,nm0088471,,,,,,,,,,,31563729.050279327,9.999999999999998
2722,16441529.761904761,5981727.464285715,FOOLISH WIVES,6.6,27.0,tt0013140,1922,117,Drama,,,,Universal Film Manufacturing Company,,,,,nm0014703,nm0002233,nm0031033,,,nm0002233,,,nm0160129,nm0243323,nm0313532,nm0123994,,,,,,,nm4622229,nm0739146,nm0200125,,,,,,,,-10459802.297619047,0.3638181818181819
3456,16676647.308654968,17825366.38362573,THE THIEF OF BAGDAD,7.5,62.0,tt0015400,1924,155,Romance,Adventure,Fantasy,,Douglas Fairbanks Pictures,,,,,nm0909825,nm0940689,nm0008280,nm0640884,,nm0909825,,,nm0001196,nm0426710,nm0250366,nm0067634,,,,,,,nm0249186,nm0634366,,,,,,,,,1148719.0749707632,1.0688818953660184
3194,13244100.628571428,35872428.571428575,THE GOLD RUSH,8.0,682.0,tt0015864,1925,95,Adventure,Comedy,Drama,,Charles Chaplin Productions,,,,,nm0000122,,,,,nm0000122,,,nm0000122,nm0841501,nm0615306,nm0074788,nm0906618,nm0354913,nm1033900,nm1027682,,,nm0675356,nm0005906,,,,,,,,,22628327.942857146,2.708559046587216
3422,1477944.0571428572,10101675.885714285,THE UNHOLY THREE,6.5,21.0,tt0016473,1925,86,Crime,Drama,Romance,,Metro-Goldwyn-Mayer,,,,,nm0730317,nm0950150,nm0115218,,,nm0115218,,,nm0151606,nm0123994,nm0601596,nm0572142,,,,,,,nm0450405,nm0336546,,,,,,,,,8623731.828571428,6.834951456310678
2419,3515498.0,315677371.4285714,THE BIG PARADE,7.5,49.0,tt0015624,1925,151,Drama,Romance,War,,Metro-Goldwyn-Mayer,,,,,nm0821716,nm0066946,nm0896542,nm0267868,nm0384276,nm0384276,nm0896542,,nm0318105,nm0012395,nm0098376,nm0568282,,,,,,,nm0002206,nm0036507,,,,,,,,,312161873.4285714,89.79591836734693
2797,5291689.8870056495,9334938.192090396,FLESH AND THE DEVIL,7.2,21.0,tt0016884,1926,112,Drama,Romance,,,Metro-Goldwyn-Mayer,,,,,nm0837183,nm0014703,nm0113284,nm0473134,nm0756226,nm0113284,,,nm0318105,nm0001256,nm0361319,nm0448661,,,,,,,,,,,,,,,,,4043248.3050847463,1.7640750670241288
1554,6574960.151694915,13716939.770960454,SPARROWS,7.5,17.0,tt0017423,1926,110,Drama,,,,United Artists,Pickford Corporation,,,,nm0547938,nm0242802,nm0837989,nm0064415,nm0573743,nm0064415,nm0573743,,nm0681933,nm0829795,nm0588928,nm0167032,,,,,,,nm0005803,,,,,,,,,,7141979.619265539,2.0862392249517216
1557,6971870.403505747,14832010.172356324,MY BEST GIRL,8.2,6.0,tt0018183,1927,80,Drama,Comedy,Romance,,United Artists,Pickford Corporation,,,,nm0924065,nm0635841,nm0853130,nm0521002,nm0573865,nm0853130,,,nm0681933,nm0736777,nm0366536,nm0514707,,,,,,,nm0450405,,,,,,,,,,7860139.768850577,2.127407612869306
